activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,canonical_smiles,target_chembl_id,target_organism,standard_type,type,effective_type,standard_relation,relation,effective_relation,standard_value,standard_upper_value,standard_units,pchembl_value,value,upper_value,units,activity_comment,standard_text_value,text_value,data_validity_comment,potential_duplicate,activity_properties_json,exact_ic50,non_exact_ic50,interval_ic50,right_censored_ic50,left_censored_ic50,text_contains_inactive,single_point_inhibition,missing_structure,potential_duplicate_true,has_validity_comment,missing_target_organism,has_standard_text_value,descriptive_flags
8011677,CHEMBL1944172,CHEMBL1938315,CHEMBL1939987,CC1=C(C(=O)c2ccccc2)C(c2ccccc2)NC(=S)N1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011678,CHEMBL1944172,CHEMBL1938315,CHEMBL1567258,O=C1NC2=C(C(=O)c3ccccc32)C(c2ccccc2)N1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011683,CHEMBL1944172,CHEMBL1938315,CHEMBL1939983,COc1ccccc1C1NC(=S)NC2=C1C(=O)c1ccccc12,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011689,CHEMBL1944172,CHEMBL1938315,CHEMBL1939973,O=C(O)c1cccc(C2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011690,CHEMBL1944172,CHEMBL1938315,CHEMBL1939974,COc1cccc(C2NC(=S)NC3=C2C(=O)c2ccccc23)c1OC,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011691,CHEMBL1944172,CHEMBL1938315,CHEMBL1939975,COc1ccc(OC)c(C2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011697,CHEMBL1944172,CHEMBL1938315,CHEMBL1939834,CN(C)CCOc1cccc(C2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011698,CHEMBL1944172,CHEMBL1938315,CHEMBL1939830,CN(C)CCCOc1cccc(C2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8011701,CHEMBL1944172,CHEMBL1938315,CHEMBL1939829,COc1cccc([C@@H]2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8012614,CHEMBL1944172,CHEMBL1938315,CHEMBL1939827,COCCCOc1cccc([C@@H]2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8012616,CHEMBL1944172,CHEMBL1938315,CHEMBL1939824,COc1cccc(C2C3=C(NC(=S)N2C)c2ccccc2C3=O)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,10000.0,,nM,,10.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
8021080,CHEMBL1949457,CHEMBL1944607,CHEMBL1944838,Cn1c(=O)c2c(ccn2CC(=O)Nc2ccc(C(F)(F)F)cc2)n(C)c1=O,CHEMBL6007,Homo sapiens,Inhibition,INH,INHIBITION,,,,,,%,,,,,Dose-dependent effect,,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,single_point_inhibition
8021081,CHEMBL1949457,CHEMBL1944607,CHEMBL1946120,Cn1c(=O)c2c(ccn2CC(=O)Nc2nc(-c3ccc(F)c(C(F)(F)F)c3)cs2)n(C)c1=O,CHEMBL6007,Homo sapiens,Inhibition,INH,INHIBITION,,,,,,%,,,,,Dose-dependent effect,,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,single_point_inhibition
10983841,CHEMBL2071975,CHEMBL2069204,CHEMBL2071598,O=C(CNC(=O)c1ccccc1)c1ccc(Cl)cc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983842,CHEMBL2071975,CHEMBL2069204,CHEMBL2071597,O=C(NC1(C(=O)c2ccc(Cl)cc2)CCC1)c1ccccc1,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
10983843,CHEMBL2071975,CHEMBL2069204,CHEMBL2071596,Cc1noc(C(C)C)c1C(=O)NC1C(=O)c2ccc(Cl)cc2CC1(C)C,CHEMBL6007,Homo sapiens,pIC50,pIC50,PIC50,,,,,,,,,,,,Not active,Not Active,,0,,False,False,False,False,False,True,False,False,False,False,False,True,text_contains_inactive;has_standard_text_value
