inchikey,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,year_min,year_max,n_documents,n_assays
RFXWMKXVVDBBLS-UHFFFAOYSA-N,Cn1cc(C#N)c2ncn(Cc3nn(CCc4ccc(Cl)cc4)c(=O)o3)c(=O)c21,CHEMBL5931002,6.78,6.78,6.78,,1,2021,2021,1,1
RGGJFJAOYSJEKN-JOCQHMNTSA-N,Cn1cnc2ncn(Cc3nc([C@H]4C[C@H](c5ccc(OC(F)(F)F)cc5)C4)no3)c(=O)c21,CHEMBL5962769,6.71,6.71,6.71,,1,2020,2020,1,1
RGXNECXVRZKGGH-UOXRKKOCSA-N,C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2cc(-c3cnc(C(F)(F)F)nc3)ncc2C(F)(F)F)N1S(=O)(=O)c1ccc(F)cc1,CHEMBL4865238,8.785,8.77,8.8,0.02121320343559723,2,2021,2025,2,2
RHMHJTBKWCHRFJ-LBPRGKRZSA-N,Cc1nc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cncc(-c4cnc(C)c(C(F)(F)F)c4)n3)n(C)c2=O)no1,CHEMBL5979839,7.57,7.57,7.57,,1,2019,2019,1,1
RHXMMXJMSUZJGT-MNNVXMFVSA-N,COCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3ccc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,CHEMBL5752677,8.15,8.15,8.15,,1,2019,2019,1,1
RIIXXVBMCUBPDJ-SHTZXODSSA-N,Cc1ccnc2ncn(Cc3nc([C@H]4C[C@H](c5ccc(F)cc5)C4)no3)c(=O)c12,CHEMBL5901394,7.82,7.82,7.82,,1,2020,2020,1,1
RIUFXWHYQAUEAO-UHFFFAOYSA-N,N#Cc1ccc(-c2n[nH]c3cc(OC(F)(F)F)ccc23)cc1,CHEMBL4101680,6.16,6.16,6.16,,1,2017,2017,1,1
RJMWAUREFQUJOV-LBPRGKRZSA-N,NC(=O)c1csc2ncn(Cc3nnn(C[C@H](O)c4ccc5oc(F)cc5c4)n3)c(=O)c12,CHEMBL5205506,7.92,7.92,7.92,,1,2022,2022,1,1
RKBDDOAOYHMXHG-HDJSIYSDSA-N,O=c1c2cccnc2ncn1Cc1nc([C@H]2C[C@H](c3ccc(Cl)cc3)C2)no1,CHEMBL5929559,7.11,7.11,7.11,,1,2020,2020,1,1
RKBSUEKOOGJZRP-KUHUBIRLSA-N,O=C(NCc1cc(-c2cnc(C(F)(F)F)nc2)c(F)cn1)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL5967837,7.42,7.42,7.42,,1,2022,2022,1,1
RKGSVRATVWYWQZ-XLIONFOSSA-N,COc1cc(-c2ccc(C(F)(F)F)nc2)cc(CNC(=O)[C@@H]2C[C@@H](F)CN2S(=O)(=O)c2ccc(F)cc2)n1,CHEMBL5934758,7.43,7.43,7.43,,1,2022,2022,1,1
RKUSVOSNDTWJFP-QFIPXVFZSA-N,CC(C)n1cc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3ccccc3o2)cc(-c2ccc(C(F)(F)F)nc2)c1=O,CHEMBL6005621,6.68,6.68,6.68,,1,2020,2020,1,1
RLCFIKQUNAVFSB-UHFFFAOYSA-N,Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(C(F)(F)F)cc4F)cs3)cccc2n(C)c1=O,CHEMBL3897132,7.58,7.58,7.58,,1,2015,2015,1,1
RLSJFZMRRVZYOG-UHFFFAOYSA-N,Cn1c(=O)c2c(CC(=O)Nc3nc(-c4cc(F)c(OCC(F)(F)F)c(F)c4)cs3)cccc2n(C)c1=O,CHEMBL3906012,8.22,8.22,8.22,,1,2015,2015,1,1
RMLPFNIHAZOFIL-SIKLNZKXSA-N,C[C@@]1(F)C[C@@H](C(=O)NCc2cc(-c3ccc(C(F)(F)F)nc3)ncn2)N(S(=O)(=O)c2ccc(F)cc2)C1,CHEMBL5786059,7.05,7.05,7.05,,1,2022,2022,1,1
RMPXORPOMZZYAM-UHFFFAOYSA-N,CC(C)c1csc(C(=O)NCC(Cc2ccccc2)N2CCC(O)(C(F)(F)F)CC2)n1,CHEMBL4208667,6.8,6.8,6.8,,1,2016,2016,1,1
RMQZLRRVWCKZAT-UHFFFAOYSA-N,Cc1cc(Cn2c(=O)c3c(ncn3CC(=O)Nc3cccc(N4CC5C(C4)C5(F)F)n3)n(C)c2=O)no1,CHEMBL5899569,6.85,6.85,6.85,,1,2019,2019,1,1
