activity_id,assay_chembl_id,assay_type,canonical_smiles,data_validity_comment,document_chembl_id,document_year,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,std_smiles,inchikey
27423791,CHEMBL5733104,B,C[C@@H](C(=O)Nc1ccnc(-c2cnc(N3CCC[C@@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5866311,8.15,=,=,IC50,nM,7.0,IC50,nM,7.0,C[C@@H](C(=O)Nc1ccnc(-c2cnc(N3CCC[C@@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,OFCLMLWEVNQPIR-DZGCQCFKSA-N
27423794,CHEMBL5733104,B,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CCC[C@@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5825686,8.4,=,=,IC50,nM,4.0,IC50,nM,4.0,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CCC[C@@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,QMEGSSYRFUWZDE-GXTWGEPZSA-N
27423800,CHEMBL5733104,B,CCCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(C(F)(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5909669,7.64,=,=,IC50,nM,23.0,IC50,nM,23.0,CCCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(C(F)(F)F)nc3)n2)n(C)c1=O,VTSOGNSWENHMHJ-ZDUSSCGKSA-N
27423803,CHEMBL5733104,B,C[C@@H](C(=O)Nc1ccnc(-c2ccc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL5916989,7.85,=,=,IC50,nM,14.0,IC50,nM,14.0,C[C@@H](C(=O)Nc1ccnc(-c2ccc(N3CC4CC4C3)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,UTFLCXHCPNBVTF-OOHWJJMZSA-N
27423806,CHEMBL5733104,B,C[C@@H](C(=O)Nc1ccnc(-c2cnc(N3CCC[C@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL6061845,8.15,=,=,IC50,nM,7.0,IC50,nM,7.0,C[C@@H](C(=O)Nc1ccnc(-c2cnc(N3CCC[C@H]3C(F)(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,OFCLMLWEVNQPIR-ZFWWWQNUSA-N
27423809,CHEMBL5733104,B,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cncc(-c4cncc(C(F)(F)F)c4)n3)n(C)c2=O)no1,,CHEMBL5726658,2019,CHEMBL6036941,8.3,=,=,IC50,nM,5.0,IC50,nM,5.0,Cc1cc(Cn2c(=O)c3c(ncn3[C@@H](C)C(=O)Nc3cncc(-c4cncc(C(F)(F)F)c4)n3)n(C)c2=O)no1,KRBDFQDQWIUJAV-ZDUSSCGKSA-N
27423812,CHEMBL5733104,B,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5764449,8.52,=,=,IC50,nM,3.0,IC50,nM,3.0,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,LRXFJLLAFBGRML-GRTSSRMGSA-N
27423815,CHEMBL5733104,B,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL5761404,8.7,=,=,IC50,nM,2.0,IC50,nM,2.0,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3cnc(N4CC5C(C4)C5(F)F)nc3)n2)n(C)c1=O,SUFJYKCRTUPWLF-JQRITLKVSA-N
27423818,CHEMBL5733104,B,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,,CHEMBL5726658,2019,CHEMBL6035844,8.7,=,=,IC50,nM,2.0,IC50,nM,2.0,C[C@@H](C(=O)Nc1csc(-c2cnc(N3CC4C(C3)C4(F)F)nc2)n1)n1cnc2c1c(=O)n(CC#N)c(=O)n2C,XPKLLDXUIOXSSE-XGNXJENSSA-N
27423821,CHEMBL5733104,B,COCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(C(F)(F)F)nc3)n2)n(C)c1=O,,CHEMBL5726658,2019,CHEMBL6014669,7.35,=,=,IC50,nM,45.0,IC50,nM,45.0,COCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(C(F)(F)F)nc3)n2)n(C)c1=O,UIOBCEWGNQAZGR-LBPRGKRZSA-N
