molecule_chembl_id,canonical_smiles,std_smiles,inchikey,mw
CHEMBL415297,C/C=C1/C(=O)C[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,C/C=C1/C(=O)C[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,YGPFHSIUUSEAMQ-RFFGMVOZSA-N,766.933
CHEMBL9580,CC/N=C(\N)Nc1ccc(Sc2ccc(Cl)cc2)cc1,CC/N=C(\N)Nc1ccc(Sc2ccc(Cl)cc2)cc1,ZIJLCEOYEUOLNB-UHFFFAOYSA-N,305.834
CHEMBL416143,O=C(NCCCCn1ccnc1)c1sc2ccccc2c1Cl,O=C(NCCCCn1ccnc1)c1sc2ccccc2c1Cl,JXJTUIRJFXTYNJ-UHFFFAOYSA-N,333.84400000000005
CHEMBL8460,CC(C)[C@@H]1OC(=O)[C@@H](C)N(O)C(=O)[C@@H]2CCCNN2C(=O)CNC(=O)[C@H](C)N(O)C(=O)[C@H]2CCCNN2C(=O)[C@H]1NC(=O)[C@@](C)(O)CCCc1ccccc1,CC(C)[C@@H]1OC(=O)[C@@H](C)N(O)C(=O)[C@@H]2CCCNN2C(=O)CNC(=O)[C@H](C)N(O)C(=O)[C@H]2CCCNN2C(=O)[C@H]1NC(=O)[C@@](C)(O)CCCc1ccccc1,QAEGJKUKPVAHJK-GOJBKEDNSA-N,774.8729999999999
CHEMBL9736,C[C@@]1(CCc2ccccc2)CC2C3Cc4ccc(O)c5c4C2(CCN3CC2CCC2)C(O5)C1=O,C[C@@]1(CCc2ccccc2)CC2C3Cc4ccc(O)c5c4C2(CCN3CC2CCC2)C(O5)C1=O,NLXNHMISEPLMNT-SYIQPVFRSA-N,457.6140000000004
CHEMBL416329,CN(C(=O)[C@H](Cc1ccc(C(N)NN)cc1)NS(=O)(=O)c1ccc2ccccc2c1)C1CC1,CN(C(=O)[C@H](Cc1ccc(C(N)NN)cc1)NS(=O)(=O)c1ccc2ccccc2c1)C1CC1,ZZKGLFBXUGAYQY-NQCNTLBGSA-N,467.59500000000025
CHEMBL6936,CCOC(=O)C1=C(O)C(=O)N(c2ccccc2)C1,CCOC(=O)C1=C(O)C(=O)N(c2ccccc2)C1,GQWLFHZHHVTAOT-UHFFFAOYSA-N,247.25
CHEMBL7988,C=CCC1Oc2ccc(F)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,C=CCC1Oc2ccc(F)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,RWLAOUIUIWXAOY-UHFFFAOYSA-N,365.4480000000001
CHEMBL8766,COC(=O)CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,COC(=O)CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,LPHGVVGIAZFOIC-HNNXBMFYSA-N,355.43100000000004
CHEMBL274799,CC(C)(C)c1cc(C/C=C/c2cccs2)cc(C(C)(C)C)c1O,CC(C)(C)c1cc(C/C=C/c2cccs2)cc(C(C)(C)C)c1O,JQIYAULCQNVSAA-JXMROGBWSA-N,328.5210000000001
CHEMBL8427,CCCCCC(OC1CCCCO1)c1cccc(OCc2cccc(C(=O)OC)c2)c1,CCCCCC(OC1CCCCO1)c1cccc(OCc2cccc(C(=O)OC)c2)c1,LZMGDMPAIGSAHU-UHFFFAOYSA-N,426.55300000000017
CHEMBL275932,C=C1C(=O)OC2CC3(C)CCCC4(CO4)C3CC12,C=C1C(=O)OC2CC3(C)CCCC4(CO4)C3CC12,HQZRHGHRYBWKFN-UHFFFAOYSA-N,248.32199999999992
CHEMBL7050,Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1,Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1,PFAYJJZRASFRBB-UHFFFAOYSA-N,318.40500000000003
CHEMBL415488,Cc1cccc(Oc2cnc(O)nc2O)c1,Cc1cccc(Oc2cnc(O)nc2O)c1,MRAFQBWAGNWURO-UHFFFAOYSA-N,218.212
CHEMBL8560,CCCCCC(C)CCC(=O)CC(=O)N[C@H]1CCOC1=O,CCCCCC(C)CCC(=O)CC(=O)N[C@H]1CCOC1=O,JBOLYOUZDZUFBX-PYMCNQPYSA-N,297.39500000000004
CHEMBL7070,Cc1cccc(N2C(N)=NC(N)=NC2(C)C)c1,Cc1cccc(N2C(N)=NC(N)=NC2(C)C)c1,VODVTOKGXQMTDK-UHFFFAOYSA-N,231.303
CHEMBL267915,CN1CCC[C@H]1CN1CCN(Cc2cccnc2)CC1,CN1CCC[C@H]1CN1CCN(Cc2cccnc2)CC1,ULRNQAZROUDCII-INIZCTEOSA-N,274.4120000000001
CHEMBL428658,Nc1nc(N)c2cc(S(=O)(=O)c3ccc(Cl)c(Cl)c3)ccc2n1,Nc1nc(N)c2cc(S(=O)(=O)c3ccc(Cl)c(Cl)c3)ccc2n1,FQPCGSYKAFBZTI-UHFFFAOYSA-N,369.23300000000006
