inchikey,standard_type,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,assay_types,year_min,year_max,scaffold,split
IPVHYPMVJBBJGY-ZIAGYGMSSA-N,IC50,Cn1cnc2ncn(Cc3nc([C@@H]4CC[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c21,CHEMBL5756126,7.665,7.58,7.75,0.120208152801713,2,B,2020,2020,O=c1c2[nH]cnc2ncn1Cc1nc(C2CCC(c3ccccc3)C2)no1,train
IPVJLUUYKAZERW-IERDGZPVSA-N,IC50,O=C(NCc1cc(-c2ccc(OC(F)F)cc2)ncn1)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL5930514,7.39,7.39,7.39,,1,B,2022,2022,O=C(NCc1cc(-c2ccccc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,train
IQOCOSWVNOLOJW-UHFFFAOYSA-N,IC50,CC(C)N(CC(=O)NCc1cc(N2CCC(C(F)(F)F)CC2)ncn1)S(=O)(=O)c1ccc(F)cc1,CHEMBL6054347,6.6,6.6,6.6,,1,B,2017,2017,O=C(CNS(=O)(=O)c1ccccc1)NCc1cc(N2CCCCC2)ncn1,train
IQZWGMBQRDGLEH-DZFIZOCASA-N,IC50,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6cccc(C7CC7)c6)C[C@@H]54)no3)c(=O)c21,CHEMBL6051214,6.95,6.95,6.95,,1,B,2020,2020,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4cccc(C5CC5)c4)CC32)no1,val
IRJZNJUTQUOZGW-UHFFFAOYSA-N,IC50,CC(=O)Cn1c(=O)c2c(ncn2CC(N)=O)n(C)c1=O,CHEMBL5816790,7.66,7.66,7.66,,1,B,2019,2019,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,train
IRVXOONVSOVGPT-RYRKJORJSA-N,IC50,CC(=O)Nc1nc2ncn(Cc3nc([C@H]4[C@@H]5C=C(c6ccccc6)C[C@@H]54)no3)c(=O)c2n1C,CHEMBL5941093,7.46,7.17,7.75,0.4101219330881976,2,B,2020,2020,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,train
IRXCYACJROUWCS-GXTWGEPZSA-N,IC50,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(OC(F)F)cc5)C4)no3)c(=O)c21,CHEMBL5799445,6.890000000000001,6.82,6.96,0.0989949493661161,2,B,2020,2020,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,train
ISIATOZGACZZRA-UHFFFAOYSA-N,IC50,Fc1ccc(Oc2nccc3[nH]ccc23)cc1,CHEMBL3297778,6.51,6.51,6.51,,1,B,2014,2014,c1ccc(Oc2nccc3[nH]ccc23)cc1,train
ISNWHBNGLQFCST-UHFFFAOYSA-N,IC50,Cc1cc(Cn2c(=O)c3c(ncn3CC(=O)Nc3ccc(C#N)c(C(F)(F)F)n3)n(C)c2=O)no1,CHEMBL5778514,6.51,6.51,6.51,,1,B,2019,2019,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1ccccn1,train
ISWKUHZARATATJ-UHFFFAOYSA-N,IC50,Cc1oc2c(c1CC(=O)Nc1nc(-c3ccc(F)c(C(F)(F)F)c3)cs1)c(=O)n(C)c(=O)n2C,CHEMBL3936454,8.15,8.15,8.15,,1,B,2015,2015,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,train
ISXARGDWFYMWFH-LBPRGKRZSA-N,IC50,Cc1oc2ncn(Cc3nnn(C[C@H](O)c4cc5cccc(F)c5o4)n3)c(=O)c2c1C(N)=O,CHEMBL6018787,7.31,7.31,7.31,,1,B,2023,2023,O=c1c2ccoc2ncn1Cc1nnn(CCc2cc3ccccc3o2)n1,train
IUPRZQNBHFNEGC-SJORKVTESA-N,IC50,COc1nn(-c2cnc(C(F)(F)F)nc2)cc1CC(=O)N[C@@H]1CC[C@@H]1S(=O)(=O)c1ccc(F)cc1,CHEMBL5860851,6.61,6.61,6.61,,1,B,2020,2020,O=C(Cc1cnn(-c2cncnc2)c1)NC1CCC1S(=O)(=O)c1ccccc1,train
IURHRSFVLQOGSW-GOEBONIOSA-N,IC50,Cc1nc(C)n2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c12,CHEMBL5857937,7.35,7.35,7.35,,1,B,2020,2020,O=c1c2cncn2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,train
IVSPLJZYCFTOCC-SUMWQHHRSA-N,IC50,O=c1c2ccncc2ncn1Cc1nc([C@@H]2CO[C@@H](c3ccc(Cl)cc3)C2)no1,CHEMBL5958151,7.91,7.71,8.11,0.2828427124746183,2,B,2020,2020,O=c1c2ccncc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,train
IVVHPAHILXWBMH-SUMWQHHRSA-N,IC50,O=c1c2c(cnn1Cc1nc([C@@H]3CO[C@@H](c4ccc(Cl)cc4)C3)no1)CNCC2,CHEMBL6043197,6.295,5.58,7.01,1.0111626970967629,2,B,2020,2020,O=c1c2c(cnn1Cc1nc(C3COC(c4ccccc4)C3)no1)CNCC2,val
IWBGPXPPPXQFFJ-NQZBTDCJSA-N,IC50,C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2cc(-c3cnc(C(F)(F)F)nc3)ncc2C#N)N1S(=O)(=O)c1ccc(F)cc1,CHEMBL4098855,8.0,8.0,8.0,,1,B,2018,2018,O=C(NCc1ccnc(-c2cncnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,train
IWGBQLFSWSPCBF-SMDDNHRTSA-N,IC50,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)c(F)c5)C4)no3)c(=O)c21,CHEMBL5896686,8.399999999999999,8.1,8.7,0.4242640687119289,2,B,2020,2020,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,train
IWSOJDYXNTZUGK-NVXWUHKLSA-N,IC50,Cc1cc(S(=O)(=O)N2C[C@H](F)C[C@@H]2c2ccc(F)cc2)cc(C)c1F,CHEMBL3752895,6.42,6.42,6.42,,1,B,2016,2016,O=S(=O)(c1ccccc1)N1CCCC1c1ccccc1,train
IWTIXSBYEURJEK-FMIVXFBMSA-N,IC50,C/C(=C\c1nc(Cn2cnc3ncccc3c2=O)no1)c1ccc(Cl)cc1,CHEMBL3787359,7.005000000000001,6.94,7.07,0.0919238815542507,2,B,2016,2016,O=c1c2cccnc2ncn1Cc1noc(C=Cc2ccccc2)n1,train
IXARYBWPLJADQF-LBPRGKRZSA-N,IC50,Cn1cnc2ncn(Cc3nn(C[C@H](F)c4cccc(Cl)c4)c(=O)o3)c(=O)c21,CHEMBL5875272,6.78,6.78,6.78,,1,B,2021,2021,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,train
IXKKQNMDGPZGKV-WCQYABFASA-N,IC50,Cn1cnc2nc(N)n(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c21,CHEMBL5813133,7.715,7.25,8.18,0.657609306503489,2,B,2020,2020,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,train
IYMRWKNCZYWXPC-URXFXBBRSA-N,IC50,CC(C)n1c(=O)c(CNC(=O)[C@@H]2[C@@H](O)CCN2S(=O)(=O)c2cc3cc(F)ccc3o2)cn(-c2ccc(C(F)(F)F)cc2)c1=O,CHEMBL6034529,7.19,7.19,7.19,,1,B,2020,2020,O=C(NCc1cn(-c2ccccc2)c(=O)[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,train
IYPSSQMPIVZFBK-FQEVSTJZSA-N,IC50,O=C(NCc1cc(-c2ccc(C(F)(F)F)nc2)ncn1)[C@@H]1CCCCN1S(=O)(=O)c1ccc(F)cc1,CHEMBL4088270,5.64,5.64,5.64,,1,B,2018,2018,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCCN1S(=O)(=O)c1ccccc1,val
