molecule_chembl_id,canonical_smiles
CHEMBL8187,Cc1nc(NC(=O)c2ccc(C(=N)N)cc2)sc1CCC(=O)O
CHEMBL9299,Cc1ccccc1C(=O)c1ccc2n1CCC2C(=O)O
CHEMBL9858,OC[C@@]1(CCCc2ccccc2)CC2C3Cc4ccc(O)c5c4C2(CCN3CC2CCC2)C(O5)[C@@H]1O
CHEMBL266720,CC(C)(C)NCC(O)COC(=O)C1c2ccccc2-c2ccccc21
CHEMBL415033,O=C(NCCCn1ccnc1)c1ccc([N+](=O)[O-])o1
CHEMBL8116,N#Cc1ccc(C(=O)C(Nc2ccc(Cl)cc2)NC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
CHEMBL6306,COC(=O)/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1
CHEMBL9891,C=CC/N=c1\c(O)c(O)\c1=N/[C@@H](Cc1ccc(NC(=O)c2c(Cl)cncc2Cl)cc1)C(=O)O
CHEMBL9062,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN(C)CCN(C)C(=O)[C@H](C)N)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C
CHEMBL269550,CCOC(=O)C1=C(O)C(=O)N(Cc2ccccc2)C1
CHEMBL7315,Cc1c(NC(=O)Cc2ccc(Br)cc2)ccc2nc(N)nc(N)c12
CHEMBL269307,N#CN/C(=N\C(Cn1ccnc1)c1ccc(Cl)cc1Cl)Nc1cccc(Cl)c1Cl
CHEMBL8708,NC1(C(=O)O)CCc2ccccc2C1
CHEMBL8622,CCCCCC(O)c1cccc(OCc2cccc(C(F)(F)F)c2)c1
CHEMBL8194,COC1=C/C(=C\C(=O)C(=O)O)OC(O)=C1
CHEMBL267007,N=C(N)NCCC[C@H](NCc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O
CHEMBL9082,CCCCC(=O)CN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1
CHEMBL9061,O=C(NCCCn1ccnc1)c1ccc(Br)o1
CHEMBL266595,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN2CCCCCC2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C
CHEMBL9532,Cc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc3ccccc23)c1
CHEMBL269613,CCCC[C@@H](C[C@@H](CCc1ccc(-c2ccc(SC)cc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O
CHEMBL8105,NC1=NC(C2CC2)Cc2sccc21
CHEMBL441216,Nc1nc(O)c2ncn(C3CC(O)C(O)C(CO)O3)c2n1
CHEMBL8617,COc1cccc2c1C(CCCN1CCN(c3ccccn3)CC1)=CCC2
CHEMBL7251,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1
CHEMBL428005,CCC(C)[C@H](NC(=O)[C@@H]1CCCN1[P@](=O)(OC)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OC(C)(C)C)C(=O)NCC(C)C
