inchikey,standard_type,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,assay_types,year_min,year_max,scaffold,split
VBGLYOIFKLUMQG-UHFFFAOYSA-N,EC50,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,CHEMBL74415,6.75,6.75,6.75,,1,B,2021,2021,c1ccc2c(c1)COc1ccccc1-2,train
VCMMXZQDRFWYSE-UHFFFAOYSA-N,EC50,CC1=CC(=O)c2c(O)cccc2C1=O,CHEMBL295316,6.34,6.34,6.34,,1,B,2016,2016,O=C1C=CC(=O)c2ccccc21,train
VDSJOHLEATVHRK-UHFFFAOYSA-N,EC50,N#Cc1cccc2c1Cc1ccccc1N=C2,CHEMBL1256239,8.8,8.8,8.8,,1,F,2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
VGCOQJLQONFPQX-UHFFFAOYSA-N,EC50,O=C(Oc1cccc(Cl)c1)N1CCN(c2ncccc2Cl)CC1,CHEMBL1081019,6.0,6.0,6.0,,1,F,2009,2009,O=C(Oc1ccccc1)N1CCN(c2ccccn2)CC1,train
VHBFEIBMZHEWSX-UHFFFAOYSA-N,EC50,CC(C)N=C=S,CHEMBL2208211,6.28,6.28,6.28,,1,B,2015,2015,,train
VHRUMKCAEVRUBK-GODQJPCRSA-N,EC50,CCCCC/C=C/C=C1/C(=O)C=C[C@@H]1C/C=C\CCCC(=O)O,CHEMBL482477,4.82,4.39,5.25,0.6081118318204314,2,B,2010,2012,C=C1CC=CC1=O,test
VKHYKHAWFZNIKB-UHFFFAOYSA-N,EC50,C1=Nc2ccccc2Sc2ccccc21,CHEMBL1256377,8.05,8.05,8.05,,1,F,2010,2010,C1=Nc2ccccc2Sc2ccccc21,test
VNIUHBPVROIPNV-UHFFFAOYSA-N,EC50,NC(=O)c1cccc2c1Oc1ccccc1N=C2,CHEMBL1084640,10.11,10.1,10.12,0.0141421356237306,2,"B,F",2010,2010,C1=Nc2ccccc2Oc2ccccc21,train
VOGJJBHRUDVEFM-UHFFFAOYSA-N,EC50,CCCCC(CC)C1NC(=O)N(SC(Cl)(Cl)Cl)C1=O,CHEMBL356479,5.52,5.52,5.52,,1,F,2010,2010,O=C1CNC(=O)N1,test
VQFAIAKCILWQPZ-UHFFFAOYSA-N,EC50,CC(=O)CBr,CHEMBL1085947,5.96,5.96,5.96,,1,B,2010,2010,,train
VVMWYPSTSXTRDL-DOQHAEMYSA-N,EC50,CC(/C=C/c1cccc(Cl)c1)=N\O,CHEMBL589875,4.2,4.2,4.2,,1,F,2010,2010,c1ccccc1,train
VVXNJNRNJLPFCT-GMHKHPCXSA-N,EC50,CN(C)c1ccc(/C=C/C=N/O)cc1,CHEMBL590846,4.8,4.8,4.8,,1,F,2010,2010,c1ccccc1,train
WBSMIPAMAXNXFS-UHFFFAOYSA-N,EC50,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1,CHEMBL1256759,6.22,6.22,6.5,0.1616580753730952,3,B,2019,2019,c1ccc(CCCNc2ccccc2)cc1,test
